ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93202,1,2013,Elec- Agricultural,Y,0,0,
93202,2,2013,Elec- Agricultural,Y,0,0,
93202,3,2013,Elec- Agricultural,Y,0,0,
93203,1,2013,Elec- Agricultural,Y,0,0,
93203,2,2013,Elec- Agricultural,Y,0,0,
93203,3,2013,Elec- Agricultural,Y,0,0,
93204,1,2013,Elec- Agricultural,Y,0,0,
93204,2,2013,Elec- Agricultural,Y,0,0,
93204,3,2013,Elec- Agricultural,Y,0,0,
93206,1,2013,Elec- Agricultural,Y,0,0,
93206,2,2013,Elec- Agricultural,Y,138,"7,249,627","52,534"
93206,3,2013,Elec- Agricultural,Y,371,"20,354,832","54,865"
93210,1,2013,Elec- Agricultural,Y,0,0,
93210,2,2013,Elec- Agricultural,Y,0,0,
93210,3,2013,Elec- Agricultural,Y,0,0,
93212,1,2013,Elec- Agricultural,Y,0,0,
93212,2,2013,Elec- Agricultural,Y,213,"9,971,956","46,817"
93212,3,2013,Elec- Agricultural,Y,0,0,
93215,1,2013,Elec- Agricultural,Y,0,0,
93215,2,2013,Elec- Agricultural,Y,0,0,
93215,3,2013,Elec- Agricultural,Y,0,0,
93219,1,2013,Elec- Agricultural,Y,0,0,
93219,2,2013,Elec- Agricultural,Y,0,0,
93219,3,2013,Elec- Agricultural,Y,0,0,
93225,1,2013,Elec- Agricultural,Y,0,0,
93225,2,2013,Elec- Agricultural,Y,0,0,
93225,3,2013,Elec- Agricultural,Y,0,0,
93230,1,2013,Elec- Agricultural,Y,0,0,
93230,2,2013,Elec- Agricultural,Y,244,"3,942,702","16,159"
93230,3,2013,Elec- Agricultural,Y,0,0,
93234,1,2013,Elec- Agricultural,Y,0,0,
93234,2,2013,Elec- Agricultural,Y,0,0,
93234,3,2013,Elec- Agricultural,Y,0,0,
93239,1,2013,Elec- Agricultural,Y,0,0,
93239,2,2013,Elec- Agricultural,Y,0,0,
93239,3,2013,Elec- Agricultural,Y,0,0,
93241,1,2013,Elec- Agricultural,Y,0,0,
93241,2,2013,Elec- Agricultural,Y,0,0,
93241,3,2013,Elec- Agricultural,Y,0,0,
93242,1,2013,Elec- Agricultural,Y,0,0,
93242,2,2013,Elec- Agricultural,Y,0,0,
93242,3,2013,Elec- Agricultural,Y,0,0,
93243,1,2013,Elec- Agricultural,Y,0,0,
93243,2,2013,Elec- Agricultural,Y,0,0,
93243,3,2013,Elec- Agricultural,Y,0,0,
93245,1,2013,Elec- Agricultural,Y,0,0,
93245,2,2013,Elec- Agricultural,N,334,"1,008,626","3,020"
93245,3,2013,Elec- Agricultural,Y,972,"22,875,596","23,535"
93249,1,2013,Elec- Agricultural,Y,0,0,
93249,2,2013,Elec- Agricultural,Y,0,0,
93249,3,2013,Elec- Agricultural,Y,0,0,
93250,1,2013,Elec- Agricultural,Y,0,0,
93250,2,2013,Elec- Agricultural,Y,0,0,
93250,3,2013,Elec- Agricultural,Y,338,"5,518,652","16,327"
93251,1,2013,Elec- Agricultural,Y,0,0,
93251,2,2013,Elec- Agricultural,Y,0,0,
93251,3,2013,Elec- Agricultural,Y,0,0,
93252,1,2013,Elec- Agricultural,Y,0,0,
93252,2,2013,Elec- Agricultural,Y,0,0,
93252,3,2013,Elec- Agricultural,Y,0,0,
93254,1,2013,Elec- Agricultural,Y,0,0,
93254,2,2013,Elec- Agricultural,Y,0,0,
93254,3,2013,Elec- Agricultural,Y,0,0,
93256,1,2013,Elec- Agricultural,Y,0,0,
93256,2,2013,Elec- Agricultural,Y,0,0,
93256,3,2013,Elec- Agricultural,Y,0,0,
93263,1,2013,Elec- Agricultural,Y,0,0,
93263,2,2013,Elec- Agricultural,Y,0,0,
93263,3,2013,Elec- Agricultural,Y,0,0,
93266,1,2013,Elec- Agricultural,Y,0,0,
93266,2,2013,Elec- Agricultural,Y,0,0,
93266,3,2013,Elec- Agricultural,Y,0,0,
93268,1,2013,Elec- Agricultural,Y,0,0,
93268,2,2013,Elec- Agricultural,Y,0,0,
93268,3,2013,Elec- Agricultural,Y,0,0,
93274,1,2013,Elec- Agricultural,Y,0,0,
93274,2,2013,Elec- Agricultural,Y,0,0,
93274,3,2013,Elec- Agricultural,Y,0,0,
93276,1,2013,Elec- Agricultural,Y,0,0,
93276,2,2013,Elec- Agricultural,Y,0,0,
93276,3,2013,Elec- Agricultural,Y,0,0,
93277,1,2013,Elec- Agricultural,Y,0,0,
93277,2,2013,Elec- Agricultural,Y,0,0,
93277,3,2013,Elec- Agricultural,Y,0,0,
93280,1,2013,Elec- Agricultural,Y,"1,625","27,791,567","17,103"
93280,2,2013,Elec- Agricultural,Y,600,"25,727,807","42,880"
93280,3,2013,Elec- Agricultural,Y,593,"33,878,357","57,130"
93286,1,2013,Elec- Agricultural,Y,0,0,
93286,2,2013,Elec- Agricultural,Y,0,0,
93286,3,2013,Elec- Agricultural,Y,0,0,
93291,1,2013,Elec- Agricultural,Y,0,0,
93291,2,2013,Elec- Agricultural,Y,0,0,
93291,3,2013,Elec- Agricultural,Y,0,0,
93292,1,2013,Elec- Agricultural,Y,0,0,
93292,2,2013,Elec- Agricultural,Y,0,0,
93292,3,2013,Elec- Agricultural,Y,0,0,
93301,1,2013,Elec- Agricultural,Y,0,0,
93301,2,2013,Elec- Agricultural,Y,0,0,
93301,3,2013,Elec- Agricultural,Y,0,0,
93304,1,2013,Elec- Agricultural,Y,0,0,
93304,2,2013,Elec- Agricultural,Y,0,0,
93304,3,2013,Elec- Agricultural,Y,0,0,
93305,1,2013,Elec- Agricultural,Y,0,0,
93305,2,2013,Elec- Agricultural,Y,0,0,
93305,3,2013,Elec- Agricultural,Y,0,0,
93306,1,2013,Elec- Agricultural,Y,0,0,
93306,2,2013,Elec- Agricultural,Y,0,0,
93306,3,2013,Elec- Agricultural,Y,0,0,
93307,1,2013,Elec- Agricultural,Y,"1,139","22,909,704","20,114"
93307,2,2013,Elec- Agricultural,Y,"1,160","27,959,847","24,103"
93307,3,2013,Elec- Agricultural,Y,561,"20,989,956","37,415"
93308,1,2013,Elec- Agricultural,Y,0,0,
93308,2,2013,Elec- Agricultural,Y,0,0,
93308,3,2013,Elec- Agricultural,Y,0,0,
93309,1,2013,Elec- Agricultural,Y,0,0,
93309,2,2013,Elec- Agricultural,Y,0,0,
93309,3,2013,Elec- Agricultural,Y,0,0,
93311,1,2013,Elec- Agricultural,Y,0,0,
93311,2,2013,Elec- Agricultural,Y,0,0,
93311,3,2013,Elec- Agricultural,Y,0,0,
93312,1,2013,Elec- Agricultural,Y,0,0,
93312,2,2013,Elec- Agricultural,Y,0,0,
93312,3,2013,Elec- Agricultural,Y,0,0,
93313,1,2013,Elec- Agricultural,Y,0,0,
93313,2,2013,Elec- Agricultural,Y,0,0,
93313,3,2013,Elec- Agricultural,Y,158,"3,083,273","19,514"
93314,1,2013,Elec- Agricultural,Y,0,0,
93314,2,2013,Elec- Agricultural,Y,0,0,
93314,3,2013,Elec- Agricultural,Y,0,0,
93401,1,2013,Elec- Agricultural,Y,0,0,
93401,2,2013,Elec- Agricultural,Y,0,0,
93401,3,2013,Elec- Agricultural,Y,0,0,
93402,1,2013,Elec- Agricultural,Y,0,0,
93402,2,2013,Elec- Agricultural,Y,0,0,
93402,3,2013,Elec- Agricultural,Y,0,0,
93405,1,2013,Elec- Agricultural,Y,0,0,
93405,2,2013,Elec- Agricultural,Y,0,0,
93405,3,2013,Elec- Agricultural,Y,0,0,
93420,1,2013,Elec- Agricultural,Y,0,0,
93420,2,2013,Elec- Agricultural,Y,"1,299","7,823,202","6,022"
93420,3,2013,Elec- Agricultural,Y,0,0,
93422,1,2013,Elec- Agricultural,Y,0,0,
93422,2,2013,Elec- Agricultural,Y,0,0,
93422,3,2013,Elec- Agricultural,Y,0,0,
93426,1,2013,Elec- Agricultural,Y,0,0,
93426,2,2013,Elec- Agricultural,Y,0,0,
93426,3,2013,Elec- Agricultural,Y,0,0,
93427,1,2013,Elec- Agricultural,Y,0,0,
93427,2,2013,Elec- Agricultural,Y,0,0,
93427,3,2013,Elec- Agricultural,Y,0,0,
93428,1,2013,Elec- Agricultural,Y,0,0,
93428,2,2013,Elec- Agricultural,Y,0,0,
93428,3,2013,Elec- Agricultural,Y,0,0,
93430,1,2013,Elec- Agricultural,Y,0,0,
93430,2,2013,Elec- Agricultural,Y,0,0,
93430,3,2013,Elec- Agricultural,Y,0,0,
93432,1,2013,Elec- Agricultural,Y,0,0,
93432,2,2013,Elec- Agricultural,Y,0,0,
93432,3,2013,Elec- Agricultural,Y,0,0,
93433,1,2013,Elec- Agricultural,Y,0,0,
93433,2,2013,Elec- Agricultural,Y,0,0,
93433,3,2013,Elec- Agricultural,Y,0,0,
93434,1,2013,Elec- Agricultural,Y,0,0,
93434,2,2013,Elec- Agricultural,Y,0,0,
93434,3,2013,Elec- Agricultural,Y,0,0,
93436,1,2013,Elec- Agricultural,Y,0,0,
93436,2,2013,Elec- Agricultural,Y,0,0,
93436,3,2013,Elec- Agricultural,Y,0,0,
93437,1,2013,Elec- Agricultural,Y,0,0,
93437,2,2013,Elec- Agricultural,Y,0,0,
93437,3,2013,Elec- Agricultural,Y,0,0,
