ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageThm
92304,10,2015,Gas- Commercial,Y,0,0,
92304,11,2015,Gas- Commercial,Y,0,0,
92304,12,2015,Gas- Commercial,Y,0,0,
92365,10,2015,Gas- Commercial,Y,0,0,
92365,11,2015,Gas- Commercial,Y,0,0,
92365,12,2015,Gas- Commercial,Y,0,0,
93203,10,2015,Gas- Commercial,Y,0,0,
93203,11,2015,Gas- Commercial,Y,0,0,
93203,12,2015,Gas- Commercial,Y,0,0,
93204,10,2015,Gas- Commercial,Y,0,0,
93204,11,2015,Gas- Commercial,Y,0,0,
93204,12,2015,Gas- Commercial,Y,0,0,
93210,10,2015,Gas- Commercial,Y,0,0,
93210,11,2015,Gas- Commercial,Y,0,0,
93210,12,2015,Gas- Commercial,Y,0,0,
93224,10,2015,Gas- Commercial,Y,0,0,
93224,11,2015,Gas- Commercial,Y,0,0,
93224,12,2015,Gas- Commercial,Y,0,0,
93234,10,2015,Gas- Commercial,Y,0,0,
93234,11,2015,Gas- Commercial,Y,0,0,
93234,12,2015,Gas- Commercial,Y,0,0,
93239,10,2015,Gas- Commercial,Y,0,0,
93239,11,2015,Gas- Commercial,Y,0,0,
93239,12,2015,Gas- Commercial,Y,0,0,
93252,10,2015,Gas- Commercial,Y,0,0,
93252,11,2015,Gas- Commercial,Y,0,0,
93252,12,2015,Gas- Commercial,Y,0,0,
93263,10,2015,Gas- Commercial,Y,0,0,
93263,11,2015,Gas- Commercial,Y,0,0,
93263,12,2015,Gas- Commercial,Y,0,0,
93268,10,2015,Gas- Commercial,Y,278,"16,060",58
93268,11,2015,Gas- Commercial,Y,261,"29,271",112
93268,12,2015,Gas- Commercial,Y,262,"48,384",185
93280,10,2015,Gas- Commercial,Y,0,0,
93280,11,2015,Gas- Commercial,Y,0,0,
93280,12,2015,Gas- Commercial,Y,0,0,
93301,10,2015,Gas- Commercial,N,"1,155","101,683",88
93301,11,2015,Gas- Commercial,N,"1,165","206,770",177
93301,12,2015,Gas- Commercial,N,"1,168","353,443",303
93304,10,2015,Gas- Commercial,N,622,"73,389",118
93304,11,2015,Gas- Commercial,N,626,"108,058",173
93304,12,2015,Gas- Commercial,N,632,"161,891",256
93305,10,2015,Gas- Commercial,N,499,"50,032",100
93305,11,2015,Gas- Commercial,N,496,"96,089",194
93305,12,2015,Gas- Commercial,N,505,"154,460",306
93306,10,2015,Gas- Commercial,N,357,"71,636",201
93306,11,2015,Gas- Commercial,N,356,"110,466",310
93306,12,2015,Gas- Commercial,N,359,"161,269",449
93307,10,2015,Gas- Commercial,Y,644,"72,458",113
93307,11,2015,Gas- Commercial,Y,644,"144,331",224
93307,12,2015,Gas- Commercial,Y,646,"232,263",360
93308,10,2015,Gas- Commercial,Y,497,"53,361",107
93308,11,2015,Gas- Commercial,Y,505,"94,401",187
93308,12,2015,Gas- Commercial,Y,504,"159,123",316
93309,10,2015,Gas- Commercial,N,402,"49,407",123
93309,11,2015,Gas- Commercial,N,404,"92,684",229
93309,12,2015,Gas- Commercial,N,401,"142,958",357
93311,10,2015,Gas- Commercial,Y,0,0,
93311,11,2015,Gas- Commercial,Y,0,0,
93311,12,2015,Gas- Commercial,Y,0,0,
93313,10,2015,Gas- Commercial,Y,545,"66,463",122
93313,11,2015,Gas- Commercial,Y,549,"130,180",237
93313,12,2015,Gas- Commercial,Y,555,"226,916",409
93314,10,2015,Gas- Commercial,Y,0,0,
93314,11,2015,Gas- Commercial,Y,0,0,
93314,12,2015,Gas- Commercial,Y,0,0,
93432,10,2015,Gas- Commercial,Y,0,0,
93432,11,2015,Gas- Commercial,Y,0,0,
93432,12,2015,Gas- Commercial,Y,0,0,
93446,10,2015,Gas- Commercial,Y,0,0,
93446,11,2015,Gas- Commercial,Y,0,0,
93446,12,2015,Gas- Commercial,Y,0,0,
93450,10,2015,Gas- Commercial,Y,0,0,
93450,11,2015,Gas- Commercial,Y,0,0,
93450,12,2015,Gas- Commercial,Y,0,0,
93461,10,2015,Gas- Commercial,Y,0,0,
93461,11,2015,Gas- Commercial,Y,0,0,
93461,12,2015,Gas- Commercial,Y,0,0,
93516,10,2015,Gas- Commercial,Y,0,0,
93516,11,2015,Gas- Commercial,Y,0,0,
93516,12,2015,Gas- Commercial,Y,0,0,
93523,10,2015,Gas- Commercial,Y,0,0,
93523,11,2015,Gas- Commercial,Y,0,0,
93523,12,2015,Gas- Commercial,Y,0,0,
93555,10,2015,Gas- Commercial,Y,603,"55,851",93
93555,11,2015,Gas- Commercial,Y,626,"139,314",223
93555,12,2015,Gas- Commercial,Y,634,"229,890",363
93561,10,2015,Gas- Commercial,Y,0,0,
93561,11,2015,Gas- Commercial,Y,0,0,
93561,12,2015,Gas- Commercial,Y,0,0,
93562,10,2015,Gas- Commercial,Y,0,0,
93562,11,2015,Gas- Commercial,Y,0,0,
93562,12,2015,Gas- Commercial,Y,0,0,
93608,10,2015,Gas- Commercial,Y,0,0,
93608,11,2015,Gas- Commercial,Y,0,0,
93608,12,2015,Gas- Commercial,Y,0,0,
93610,10,2015,Gas- Commercial,Y,0,0,
93610,11,2015,Gas- Commercial,Y,0,0,
93610,12,2015,Gas- Commercial,N,191,"63,119",330
93611,10,2015,Gas- Commercial,Y,429,"70,606",165
93611,11,2015,Gas- Commercial,Y,0,0,
93611,12,2015,Gas- Commercial,Y,0,0,
93612,10,2015,Gas- Commercial,N,900,"109,227",121
93612,11,2015,Gas- Commercial,Y,"1,327","320,404",241
93612,12,2015,Gas- Commercial,Y,"1,340","486,111",363
93616,10,2015,Gas- Commercial,Y,0,0,
93616,11,2015,Gas- Commercial,Y,0,0,
93616,12,2015,Gas- Commercial,Y,0,0,
93619,10,2015,Gas- Commercial,Y,0,0,
93619,11,2015,Gas- Commercial,Y,0,0,
93619,12,2015,Gas- Commercial,Y,0,0,
93620,10,2015,Gas- Commercial,Y,0,0,
93620,11,2015,Gas- Commercial,Y,0,0,
93620,12,2015,Gas- Commercial,Y,0,0,
93622,10,2015,Gas- Commercial,Y,223,"21,122",95
93622,11,2015,Gas- Commercial,Y,326,"62,717",192
93622,12,2015,Gas- Commercial,Y,0,0,
93625,10,2015,Gas- Commercial,Y,0,0,
93625,11,2015,Gas- Commercial,Y,0,0,
93625,12,2015,Gas- Commercial,Y,0,0,
93627,10,2015,Gas- Commercial,Y,0,0,
93627,11,2015,Gas- Commercial,Y,0,0,
93627,12,2015,Gas- Commercial,Y,0,0,
93630,10,2015,Gas- Commercial,Y,0,0,
93630,11,2015,Gas- Commercial,N,180,"47,246",262
93630,12,2015,Gas- Commercial,Y,228,"79,532",349
93631,10,2015,Gas- Commercial,Y,0,0,
93631,11,2015,Gas- Commercial,Y,0,0,
93631,12,2015,Gas- Commercial,Y,0,0,
93635,10,2015,Gas- Commercial,N,431,"56,709",132
93635,11,2015,Gas- Commercial,N,436,"102,690",236
93635,12,2015,Gas- Commercial,N,436,"153,015",351
93636,10,2015,Gas- Commercial,Y,0,0,
93636,11,2015,Gas- Commercial,Y,0,0,
93636,12,2015,Gas- Commercial,Y,0,0,
93637,10,2015,Gas- Commercial,Y,"1,078","260,830",242
93637,11,2015,Gas- Commercial,Y,"1,082","380,903",352
93637,12,2015,Gas- Commercial,Y,817,"404,663",495
93638,10,2015,Gas- Commercial,Y,0,0,
93638,11,2015,Gas- Commercial,Y,0,0,
93638,12,2015,Gas- Commercial,N,303,"106,022",350
93640,10,2015,Gas- Commercial,Y,0,0,
93640,11,2015,Gas- Commercial,Y,0,0,
93640,12,2015,Gas- Commercial,Y,0,0,
93650,10,2015,Gas- Commercial,N,122,"9,791",80
93650,11,2015,Gas- Commercial,N,124,"24,905",201
93650,12,2015,Gas- Commercial,Y,0,0,
93657,10,2015,Gas- Commercial,N,313,"36,394",116
93657,11,2015,Gas- Commercial,N,315,"62,533",199
93657,12,2015,Gas- Commercial,N,325,"93,642",288
93660,10,2015,Gas- Commercial,Y,0,0,
93660,11,2015,Gas- Commercial,Y,0,0,
93660,12,2015,Gas- Commercial,Y,0,0,
93662,10,2015,Gas- Commercial,Y,354,"50,753",143
93662,11,2015,Gas- Commercial,Y,783,"268,570",343
93662,12,2015,Gas- Commercial,Y,784,"404,967",517
93668,10,2015,Gas- Commercial,Y,0,0,
93668,11,2015,Gas- Commercial,Y,19,"1,947",102
93668,12,2015,Gas- Commercial,Y,0,0,
93701,10,2015,Gas- Commercial,Y,0,0,
93701,11,2015,Gas- Commercial,Y,0,0,
93701,12,2015,Gas- Commercial,Y,0,0,
93702,10,2015,Gas- Commercial,Y,0,0,
93702,11,2015,Gas- Commercial,N,410,"70,310",171
93702,12,2015,Gas- Commercial,N,410,"106,668",260
93703,10,2015,Gas- Commercial,Y,0,0,
93703,11,2015,Gas- Commercial,N,537,"88,908",166
93703,12,2015,Gas- Commercial,N,545,"135,337",248
93704,10,2015,Gas- Commercial,Y,0,0,
93704,11,2015,Gas- Commercial,Y,0,0,
93704,12,2015,Gas- Commercial,Y,0,0,
93705,10,2015,Gas- Commercial,Y,0,0,
93705,11,2015,Gas- Commercial,Y,0,0,
93705,12,2015,Gas- Commercial,Y,0,0,
93706,10,2015,Gas- Commercial,Y,"2,914","477,851",164
93706,11,2015,Gas- Commercial,Y,834,"325,985",391
93706,12,2015,Gas- Commercial,N,588,"371,652",632
93710,10,2015,Gas- Commercial,Y,864,"108,731",126
93710,11,2015,Gas- Commercial,Y,870,"217,175",250
93710,12,2015,Gas- Commercial,Y,873,"339,792",389
93711,10,2015,Gas- Commercial,N,"1,143","88,182",77
93711,11,2015,Gas- Commercial,N,"1,146","192,245",168
93711,12,2015,Gas- Commercial,Y,"1,286","351,194",273
93720,10,2015,Gas- Commercial,Y,967,"149,139",154
93720,11,2015,Gas- Commercial,Y,"1,008","276,896",275
93720,12,2015,Gas- Commercial,Y,"1,010","418,647",415
93721,10,2015,Gas- Commercial,Y,0,0,
93721,11,2015,Gas- Commercial,Y,760,"261,889",345
93721,12,2015,Gas- Commercial,Y,768,"389,978",508
93722,10,2015,Gas- Commercial,N,834,"88,946",107
93722,11,2015,Gas- Commercial,Y,847,"173,493",205
93722,12,2015,Gas- Commercial,Y,851,"269,657",317
