ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
,,,Gas-,,,,
93624,7,2016,Gas- Agricultural,N,91,"11,108,172","122,068"
93624,8,2016,Gas- Agricultural,N,92,"9,588,350","104,221"
93624,9,2016,Gas- Agricultural,N,95,"6,078,413","63,983"
94562,9,2016,Gas- Agricultural,N,66,"175,260","2,655"
94573,7,2016,Gas- Agricultural,N,71,"201,422","2,837"
94573,8,2016,Gas- Agricultural,N,72,"234,285","3,254"
94573,9,2016,Gas- Agricultural,N,72,"230,748","3,205"
95227,7,2016,Gas- Agricultural,N,120,"619,347","5,161"
95227,8,2016,Gas- Agricultural,N,119,"550,429","4,625"
95227,9,2016,Gas- Agricultural,N,122,"385,621","3,161"
95387,7,2016,Gas- Agricultural,N,67,"1,299,007","19,388"
95387,8,2016,Gas- Agricultural,N,69,"1,017,355","14,744"
95913,7,2016,Gas- Agricultural,N,54,"685,976","12,703"
95913,8,2016,Gas- Agricultural,N,54,"566,171","10,485"
95950,7,2016,Gas- Agricultural,N,33,"582,989","17,666"
92304,7,2016,Gas- Commercial,Y,0,0,
92304,8,2016,Gas- Commercial,Y,0,0,
92304,9,2016,Gas- Commercial,Y,0,0,
92365,7,2016,Gas- Commercial,Y,0,0,
92365,8,2016,Gas- Commercial,Y,0,0,
92365,9,2016,Gas- Commercial,Y,0,0,
93203,7,2016,Gas- Commercial,Y,0,0,
93203,8,2016,Gas- Commercial,Y,0,0,
93203,9,2016,Gas- Commercial,Y,0,0,
93204,7,2016,Gas- Commercial,Y,0,0,
93204,8,2016,Gas- Commercial,Y,0,0,
93204,9,2016,Gas- Commercial,Y,0,0,
93210,7,2016,Gas- Commercial,Y,0,0,
93210,8,2016,Gas- Commercial,Y,0,0,
93210,9,2016,Gas- Commercial,Y,0,0,
93224,7,2016,Gas- Commercial,Y,0,0,
93224,8,2016,Gas- Commercial,Y,0,0,
93224,9,2016,Gas- Commercial,Y,0,0,
93234,7,2016,Gas- Commercial,Y,0,0,
93234,8,2016,Gas- Commercial,Y,0,0,
93234,9,2016,Gas- Commercial,Y,0,0,
93239,7,2016,Gas- Commercial,Y,0,0,
93239,8,2016,Gas- Commercial,Y,0,0,
93239,9,2016,Gas- Commercial,Y,0,0,
93252,7,2016,Gas- Commercial,Y,0,0,
93252,8,2016,Gas- Commercial,Y,0,0,
93252,9,2016,Gas- Commercial,Y,0,0,
93263,7,2016,Gas- Commercial,Y,0,0,
93263,8,2016,Gas- Commercial,Y,0,0,
93263,9,2016,Gas- Commercial,Y,0,0,
93268,7,2016,Gas- Commercial,Y,0,0,
93268,8,2016,Gas- Commercial,Y,0,0,
93268,9,2016,Gas- Commercial,Y,0,0,
93280,7,2016,Gas- Commercial,Y,0,0,
93280,8,2016,Gas- Commercial,Y,0,0,
93280,9,2016,Gas- Commercial,Y,0,0,
93301,7,2016,Gas- Commercial,N,"1,149","79,167",69
93301,8,2016,Gas- Commercial,N,"1,146","83,474",73
93301,9,2016,Gas- Commercial,N,"1,142","86,203",75
93304,7,2016,Gas- Commercial,N,613,"68,658",112
93304,8,2016,Gas- Commercial,N,609,"71,205",117
93304,9,2016,Gas- Commercial,N,606,"68,756",113
93305,7,2016,Gas- Commercial,N,499,"40,349",81
93305,8,2016,Gas- Commercial,N,499,"40,944",82
93305,9,2016,Gas- Commercial,N,499,"41,700",84
93306,7,2016,Gas- Commercial,N,362,"62,212",172
93306,8,2016,Gas- Commercial,N,363,"62,968",173
93306,9,2016,Gas- Commercial,N,363,"67,278",185
93307,7,2016,Gas- Commercial,Y,642,"64,638",101
93307,8,2016,Gas- Commercial,Y,645,"64,824",101
93307,9,2016,Gas- Commercial,Y,644,"71,334",111
93308,7,2016,Gas- Commercial,Y,502,"46,853",93
93308,8,2016,Gas- Commercial,Y,502,"47,552",95
93308,9,2016,Gas- Commercial,Y,502,"46,075",92
93309,7,2016,Gas- Commercial,N,389,"43,863",113
93309,8,2016,Gas- Commercial,N,386,"45,755",119
93309,9,2016,Gas- Commercial,N,387,"47,193",122
93311,7,2016,Gas- Commercial,Y,0,0,
93311,8,2016,Gas- Commercial,Y,0,0,
93311,9,2016,Gas- Commercial,Y,0,0,
93313,7,2016,Gas- Commercial,Y,557,"51,809",93
93313,8,2016,Gas- Commercial,Y,556,"52,536",94
93313,9,2016,Gas- Commercial,Y,557,"55,021",99
93314,7,2016,Gas- Commercial,Y,0,0,
93314,8,2016,Gas- Commercial,Y,0,0,
93314,9,2016,Gas- Commercial,Y,0,0,
93424,7,2016,Gas- Commercial,N,106,"524,534","4,948"
93424,8,2016,Gas- Commercial,N,106,"515,765","4,866"
93424,9,2016,Gas- Commercial,N,107,"500,290","4,676"
93432,7,2016,Gas- Commercial,Y,0,0,
93432,8,2016,Gas- Commercial,Y,0,0,
93432,9,2016,Gas- Commercial,Y,0,0,
93440,7,2016,Gas- Commercial,N,84,"258,325","3,075"
93440,8,2016,Gas- Commercial,N,85,"262,443","3,088"
93440,9,2016,Gas- Commercial,N,85,"274,468","3,229"
93446,7,2016,Gas- Commercial,Y,0,0,
93446,8,2016,Gas- Commercial,Y,0,0,
93446,9,2016,Gas- Commercial,Y,0,0,
93450,7,2016,Gas- Commercial,Y,0,0,
93450,8,2016,Gas- Commercial,Y,0,0,
93450,9,2016,Gas- Commercial,Y,0,0,
93461,7,2016,Gas- Commercial,Y,0,0,
93461,8,2016,Gas- Commercial,Y,0,0,
93461,9,2016,Gas- Commercial,Y,0,0,
93516,7,2016,Gas- Commercial,Y,0,0,
93516,8,2016,Gas- Commercial,Y,0,0,
93516,9,2016,Gas- Commercial,Y,0,0,
93523,7,2016,Gas- Commercial,Y,0,0,
93523,8,2016,Gas- Commercial,Y,0,0,
93523,9,2016,Gas- Commercial,Y,0,0,
93555,7,2016,Gas- Commercial,Y,600,"43,991",73
93555,8,2016,Gas- Commercial,Y,597,"45,110",76
93555,9,2016,Gas- Commercial,Y,592,"46,631",79
93561,7,2016,Gas- Commercial,Y,0,0,
93561,8,2016,Gas- Commercial,Y,0,0,
93561,9,2016,Gas- Commercial,Y,0,0,
93562,7,2016,Gas- Commercial,Y,0,0,
93562,8,2016,Gas- Commercial,Y,0,0,
93562,9,2016,Gas- Commercial,Y,0,0,
93608,7,2016,Gas- Commercial,Y,0,0,
93608,8,2016,Gas- Commercial,Y,0,0,
93608,9,2016,Gas- Commercial,Y,0,0,
93610,7,2016,Gas- Commercial,Y,0,0,
93610,8,2016,Gas- Commercial,Y,0,0,
93610,9,2016,Gas- Commercial,Y,0,0,
93611,7,2016,Gas- Commercial,Y,440,"51,452",117
93611,8,2016,Gas- Commercial,Y,0,0,
93611,9,2016,Gas- Commercial,Y,442,"59,303",134
93612,7,2016,Gas- Commercial,N,915,"94,854",104
93612,8,2016,Gas- Commercial,Y,"1,319","170,532",129
93612,9,2016,Gas- Commercial,N,912,"100,047",110
93616,7,2016,Gas- Commercial,Y,0,0,
93616,8,2016,Gas- Commercial,Y,0,0,
93616,9,2016,Gas- Commercial,Y,0,0,
93619,7,2016,Gas- Commercial,Y,0,0,
93619,8,2016,Gas- Commercial,Y,0,0,
93619,9,2016,Gas- Commercial,Y,0,0,
93620,7,2016,Gas- Commercial,Y,0,0,
93620,8,2016,Gas- Commercial,Y,0,0,
93620,9,2016,Gas- Commercial,Y,0,0,
93622,7,2016,Gas- Commercial,Y,0,0,
93622,8,2016,Gas- Commercial,Y,323,"30,282",94
93622,9,2016,Gas- Commercial,Y,322,"30,125",94
93624,7,2016,Gas- Commercial,N,62,"333,085","5,372"
93624,8,2016,Gas- Commercial,N,61,"343,722","5,635"
93624,9,2016,Gas- Commercial,N,63,"298,990","4,746"
93625,7,2016,Gas- Commercial,Y,0,0,
93625,8,2016,Gas- Commercial,Y,0,0,
93625,9,2016,Gas- Commercial,Y,0,0,
93627,7,2016,Gas- Commercial,Y,0,0,
93627,8,2016,Gas- Commercial,Y,0,0,
93627,9,2016,Gas- Commercial,Y,0,0,
93630,7,2016,Gas- Commercial,Y,0,0,
93630,8,2016,Gas- Commercial,Y,0,0,
93630,9,2016,Gas- Commercial,Y,0,0,
93631,7,2016,Gas- Commercial,Y,0,0,
93631,8,2016,Gas- Commercial,Y,0,0,
93631,9,2016,Gas- Commercial,Y,0,0,
93635,7,2016,Gas- Commercial,N,435,"52,166",120
93635,8,2016,Gas- Commercial,Y,554,"76,539",138
93635,9,2016,Gas- Commercial,Y,554,"76,880",139
93636,7,2016,Gas- Commercial,Y,0,0,
93636,8,2016,Gas- Commercial,Y,0,0,
93636,9,2016,Gas- Commercial,Y,0,0,
93637,7,2016,Gas- Commercial,Y,"1,399","238,876",171
93637,8,2016,Gas- Commercial,Y,"1,076","226,279",210
93637,9,2016,Gas- Commercial,Y,"1,081","226,818",210
93638,7,2016,Gas- Commercial,Y,0,0,
93638,8,2016,Gas- Commercial,Y,0,0,
93638,9,2016,Gas- Commercial,Y,0,0,
93640,7,2016,Gas- Commercial,Y,0,0,
93640,8,2016,Gas- Commercial,Y,0,0,
93640,9,2016,Gas- Commercial,Y,0,0,
93650,7,2016,Gas- Commercial,N,124,"9,112",73
93650,8,2016,Gas- Commercial,N,124,"9,426",76
93650,9,2016,Gas- Commercial,N,124,"9,196",74
93657,7,2016,Gas- Commercial,N,319,"34,240",107
93657,8,2016,Gas- Commercial,N,317,"36,975",117
93657,9,2016,Gas- Commercial,N,318,"36,181",114
93660,7,2016,Gas- Commercial,Y,0,0,
93660,8,2016,Gas- Commercial,Y,0,0,
93660,9,2016,Gas- Commercial,Y,0,0,
93662,7,2016,Gas- Commercial,Y,769,"136,146",177
93662,8,2016,Gas- Commercial,Y,767,"152,862",199
93662,9,2016,Gas- Commercial,Y,768,"148,649",194
93668,7,2016,Gas- Commercial,Y,0,0,
93668,8,2016,Gas- Commercial,Y,0,0,
93668,9,2016,Gas- Commercial,Y,0,0,
93701,7,2016,Gas- Commercial,Y,0,0,
93701,8,2016,Gas- Commercial,Y,0,0,
93701,9,2016,Gas- Commercial,Y,0,0,
93702,7,2016,Gas- Commercial,N,408,"35,878",88
93702,8,2016,Gas- Commercial,N,406,"36,488",90
93702,9,2016,Gas- Commercial,N,406,"37,185",92
93703,7,2016,Gas- Commercial,Y,535,"39,928",75
93703,8,2016,Gas- Commercial,Y,534,"39,167",73
93703,9,2016,Gas- Commercial,Y,529,"42,296",80
93704,7,2016,Gas- Commercial,N,375,"28,367",76
93704,8,2016,Gas- Commercial,N,376,"30,335",81
93704,9,2016,Gas- Commercial,Y,586,"57,374",98
93705,7,2016,Gas- Commercial,N,212,"21,800",103
93705,8,2016,Gas- Commercial,N,211,"21,909",104
93705,9,2016,Gas- Commercial,Y,0,0,
93706,7,2016,Gas- Commercial,Y,"1,958","268,381",137
93706,8,2016,Gas- Commercial,Y,"1,954","289,676",148
93706,9,2016,Gas- Commercial,Y,"1,945","286,474",147
93710,7,2016,Gas- Commercial,Y,858,"97,157",113
93710,8,2016,Gas- Commercial,Y,861,"99,444",115
93710,9,2016,Gas- Commercial,Y,865,"105,956",122
93711,7,2016,Gas- Commercial,Y,"1,135","82,763",73
