ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,10,2016,Elec- Agricultural,Y,0,0,
93117,11,2016,Elec- Agricultural,Y,0,0,
93117,12,2016,Elec- Agricultural,Y,0,0,
93203,10,2016,Elec- Agricultural,Y,154,"8,762,288","56,898"
93203,11,2016,Elec- Agricultural,Y,0,0,
93203,12,2016,Elec- Agricultural,Y,0,0,
93204,10,2016,Elec- Agricultural,Y,0,0,
93204,11,2016,Elec- Agricultural,Y,0,0,
93204,12,2016,Elec- Agricultural,Y,0,0,
93206,10,2016,Elec- Agricultural,Y,0,0,
93206,11,2016,Elec- Agricultural,Y,255,"9,468,923","37,133"
93206,12,2016,Elec- Agricultural,Y,325,"10,804,004","33,243"
93210,10,2016,Elec- Agricultural,N,85,"3,210,515","37,771"
93210,11,2016,Elec- Agricultural,Y,0,0,
93210,12,2016,Elec- Agricultural,Y,664,"9,518,376","14,335"
93212,10,2016,Elec- Agricultural,Y,0,0,
93212,11,2016,Elec- Agricultural,Y,0,0,
93212,12,2016,Elec- Agricultural,Y,0,0,
93215,10,2016,Elec- Agricultural,Y,0,0,
93215,11,2016,Elec- Agricultural,Y,0,0,
93215,12,2016,Elec- Agricultural,Y,0,0,
93219,10,2016,Elec- Agricultural,Y,0,0,
93219,11,2016,Elec- Agricultural,Y,0,0,
93219,12,2016,Elec- Agricultural,Y,0,0,
93225,10,2016,Elec- Agricultural,Y,0,0,
93225,11,2016,Elec- Agricultural,Y,0,0,
93225,12,2016,Elec- Agricultural,Y,0,0,
93230,10,2016,Elec- Agricultural,Y,0,0,
93230,11,2016,Elec- Agricultural,Y,0,0,
93230,12,2016,Elec- Agricultural,Y,0,0,
93234,10,2016,Elec- Agricultural,Y,124,"8,205,251","66,171"
93234,11,2016,Elec- Agricultural,Y,294,"10,812,683","36,778"
93234,12,2016,Elec- Agricultural,Y,0,0,
93239,10,2016,Elec- Agricultural,Y,0,0,
93239,11,2016,Elec- Agricultural,Y,0,0,
93239,12,2016,Elec- Agricultural,Y,0,0,
93241,10,2016,Elec- Agricultural,Y,0,0,
93241,11,2016,Elec- Agricultural,Y,0,0,
93241,12,2016,Elec- Agricultural,Y,0,0,
93242,10,2016,Elec- Agricultural,Y,0,0,
93242,11,2016,Elec- Agricultural,Y,0,0,
93242,12,2016,Elec- Agricultural,Y,0,0,
93243,10,2016,Elec- Agricultural,Y,0,0,
93243,11,2016,Elec- Agricultural,Y,0,0,
93243,12,2016,Elec- Agricultural,Y,0,0,
93245,10,2016,Elec- Agricultural,Y,0,0,
93245,11,2016,Elec- Agricultural,Y,0,0,
93245,12,2016,Elec- Agricultural,Y,0,0,
93249,10,2016,Elec- Agricultural,Y,0,0,
93249,11,2016,Elec- Agricultural,Y,0,0,
93249,12,2016,Elec- Agricultural,Y,0,0,
93250,10,2016,Elec- Agricultural,Y,0,0,
93250,11,2016,Elec- Agricultural,Y,0,0,
93250,12,2016,Elec- Agricultural,Y,0,0,
93251,10,2016,Elec- Agricultural,Y,0,0,
93251,11,2016,Elec- Agricultural,Y,0,0,
93251,12,2016,Elec- Agricultural,Y,0,0,
93252,10,2016,Elec- Agricultural,Y,0,0,
93252,11,2016,Elec- Agricultural,Y,0,0,
93252,12,2016,Elec- Agricultural,Y,0,0,
93254,10,2016,Elec- Agricultural,Y,0,0,
93254,11,2016,Elec- Agricultural,Y,0,0,
93254,12,2016,Elec- Agricultural,Y,0,0,
93256,10,2016,Elec- Agricultural,Y,0,0,
93256,11,2016,Elec- Agricultural,Y,0,0,
93256,12,2016,Elec- Agricultural,Y,0,0,
93262,10,2016,Elec- Agricultural,Y,0,0,
93262,11,2016,Elec- Agricultural,Y,0,0,
93262,12,2016,Elec- Agricultural,Y,0,0,
93263,10,2016,Elec- Agricultural,Y,0,0,
93263,11,2016,Elec- Agricultural,Y,0,0,
93263,12,2016,Elec- Agricultural,Y,0,0,
93266,10,2016,Elec- Agricultural,Y,0,0,
93266,11,2016,Elec- Agricultural,Y,0,0,
93266,12,2016,Elec- Agricultural,Y,0,0,
93268,10,2016,Elec- Agricultural,Y,0,0,
93268,11,2016,Elec- Agricultural,Y,0,0,
93268,12,2016,Elec- Agricultural,Y,0,0,
93272,10,2016,Elec- Agricultural,Y,0,0,
93272,11,2016,Elec- Agricultural,Y,0,0,
93272,12,2016,Elec- Agricultural,Y,0,0,
93274,10,2016,Elec- Agricultural,Y,0,0,
93274,11,2016,Elec- Agricultural,Y,0,0,
93274,12,2016,Elec- Agricultural,Y,0,0,
93276,10,2016,Elec- Agricultural,Y,0,0,
93276,11,2016,Elec- Agricultural,Y,0,0,
93276,12,2016,Elec- Agricultural,Y,0,0,
93277,10,2016,Elec- Agricultural,Y,0,0,
93277,11,2016,Elec- Agricultural,Y,0,0,
93277,12,2016,Elec- Agricultural,Y,0,0,
93280,10,2016,Elec- Agricultural,Y,"1,948","91,186,521","46,810"
93280,11,2016,Elec- Agricultural,Y,0,0,
93280,12,2016,Elec- Agricultural,Y,0,0,
93286,10,2016,Elec- Agricultural,Y,0,0,
93286,11,2016,Elec- Agricultural,Y,0,0,
93286,12,2016,Elec- Agricultural,Y,0,0,
93291,10,2016,Elec- Agricultural,Y,0,0,
93291,11,2016,Elec- Agricultural,Y,0,0,
93291,12,2016,Elec- Agricultural,Y,0,0,
93292,10,2016,Elec- Agricultural,Y,0,0,
93292,11,2016,Elec- Agricultural,Y,0,0,
93292,12,2016,Elec- Agricultural,Y,0,0,
93301,10,2016,Elec- Agricultural,Y,0,0,
93301,11,2016,Elec- Agricultural,Y,0,0,
93301,12,2016,Elec- Agricultural,Y,0,0,
93304,10,2016,Elec- Agricultural,Y,0,0,
93304,11,2016,Elec- Agricultural,Y,0,0,
93304,12,2016,Elec- Agricultural,Y,0,0,
