,zipcode,month,year,totalcustomers_elec,totalkwh,class_factor,combined_factor,num_farmers,num_residents,num_workers,num_officers,totalcustomers_gas,totalthm,gas_residential,gas_commercial
0,93206,2,2013,138,7249627,0,0,138.0,,,,,,,
1,93206,3,2013,371,20354832,0,0,371.0,,,,,,,
2,93212,2,2013,213,9971956,0,0,213.0,,,,,,,
3,93230,2,2013,244,3942702,0,0,244.0,,,,,,,
4,93245,2,2013,334,1008626,0,1,334.0,,,,,,,
5,93245,3,2013,972,22875596,0,0,972.0,,,,,,,
6,93250,3,2013,338,5518652,0,0,338.0,,,,,,,
7,93280,1,2013,1625,27791567,0,0,1625.0,,,,,,,
8,93280,2,2013,600,25727807,0,0,600.0,,,,,,,
9,93280,3,2013,593,33878357,0,0,593.0,,,,,,,
10,93307,1,2013,1139,22909704,0,0,1139.0,,,,,,,
11,93307,2,2013,1160,27959847,0,0,1160.0,,,,,,,
12,93307,3,2013,561,20989956,0,0,561.0,,,,,,,
13,93313,3,2013,158,3083273,0,0,158.0,,,,,,,
14,93420,2,2013,1299,7823202,0,0,1299.0,,,,,,,
15,93440,1,2013,23,14026,0,1,23.0,,,,,,,
16,93446,1,2013,1230,7735235,0,0,1230.0,,,,,,,
17,93446,3,2013,1246,11955397,0,0,1246.0,,,,,,,
18,93451,1,2013,63,20568,0,1,63.0,,,,,,,
19,93608,2,2013,158,5149778,0,0,158.0,,,,,,,
20,93608,3,2013,163,6429030,0,0,163.0,,,,,,,
21,93610,3,2013,475,5030789,0,0,475.0,,,,,,,
22,93618,1,2013,1532,5882858,0,0,1532.0,,,,,,,
23,93618,2,2013,2133,7786745,0,0,2133.0,,,,,,,
24,93618,3,2013,1104,4553980,0,0,1104.0,,,,,,,
25,93619,3,2013,173,78837,0,0,173.0,,,,,,,
26,93622,2,2013,263,3877889,0,0,263.0,,,,,,,
27,93622,3,2013,266,5857199,0,0,266.0,,,,,,,
28,93624,2,2013,48,2156861,0,1,48.0,,,,,,,
29,93624,3,2013,48,3245674,0,1,48.0,,,,,,,
30,93630,3,2013,405,1911926,0,1,405.0,,,,,,,
31,93635,1,2013,568,1333186,0,0,568.0,,,,,,,
32,93635,2,2013,304,987860,0,0,304.0,,,,,,,
33,93635,3,2013,308,1335475,0,0,308.0,,,,,,,
34,93637,1,2013,904,6006514,0,0,904.0,,,,,,,
35,93637,2,2013,690,3461740,0,0,690.0,,,,,,,
36,93637,3,2013,432,3409003,0,0,432.0,,,,,,,
37,93647,1,2013,353,706815,0,0,353.0,,,,,,,
38,93657,1,2013,1409,5022793,0,0,1409.0,,,,,,,
39,93657,2,2013,1174,2380674,0,0,1174.0,,,,,,,
40,93657,3,2013,1161,3521037,0,0,1161.0,,,,,,,
41,93706,1,2013,2287,16985436,0,0,2287.0,,,,,,,
42,93706,2,2013,2316,10124047,0,0,2316.0,,,,,,,
43,93723,3,2013,68,59157,0,1,68.0,,,,,,,
44,93725,3,2013,2847,13089633,0,0,2847.0,,,,,,,
45,93908,2,2013,418,3508122,0,0,418.0,,,,,,,
46,93908,3,2013,282,7704848,0,0,282.0,,,,,,,
47,93960,3,2013,258,3149947,0,0,258.0,,,,,,,
48,94558,1,2013,6149,18430773,0,0,6149.0,,,,,,,
49,94558,3,2013,2193,5527983,0,0,2193.0,,,,,,,
50,94573,1,2013,64,52068,0,1,64.0,,,,,,,
51,94574,3,2013,477,355864,0,0,477.0,,,,,,,
52,95076,1,2013,1462,18147070,0,0,1462.0,,,,,,,
53,95076,2,2013,1746,16364278,0,0,1746.0,,,,,,,
54,95076,3,2013,1260,15502467,0,0,1260.0,,,,,,,
